Order_ID,Order_Date,Customer,State,Category,Product,Quantity,Unit_Price,Discount_Percent,Sales,Profit,Payment_Method
ORD10472,2025-02-24,Customer_073,Andhra Pradesh,Home & Kitchen,Dinner Set,3,3946,15,10062.3,1498.5,Net Banking
ORD10530,2025-02-24,Customer_182,Telangana,Furniture,Sofa,2,44535,10,80163.0,11629.51,UPI
ORD10683,2025-02-25,Customer_057,Tamil Nadu,Clothing,Shoes,5,5949,5,28257.75,3129.08,UPI
ORD10026,2025-02-25,Customer_134,Tamil Nadu,Furniture,Bookshelf,4,4898,15,16653.2,1776.2,UPI
ORD10954,2025-02-25,Customer_133,Karnataka,Home & Kitchen,Mixer,1,7658,0,7658.0,773.87,Cash
ORD10518,2025-02-26,Customer_003,Kerala,Furniture,Desk,4,16485,20,52752.0,6253.82,UPI
ORD10568,2025-02-26,Customer_031,Karnataka,Home & Kitchen,Bottle,3,779,10,2103.3,315.15,Net Banking
ORD10304,2025-02-26,Customer_152,Tamil Nadu,Furniture,Office Chair,2,9615,10,17307.0,1732.38,Debit Card
ORD10255,2025-02-26,Customer_120,Kerala,Electronics,Mobile,4,22332,10,80395.2,12259.28,UPI
ORD10267,2025-02-26,Customer_139,Karnataka,Home & Kitchen,Air Fryer,5,9926,0,49630.0,4728.7,UPI
ORD10713,2025-02-26,Customer_026,Tamil Nadu,Electronics,Mobile,4,46716,5,177520.8,44288.14,Debit Card
ORD10491,2025-02-27,Customer_144,Karnataka,Home & Kitchen,Dinner Set,3,2134,10,5761.8,1344.85,Net Banking
ORD10888,2025-02-27,Customer_129,Telangana,Furniture,Table,1,15033,0,15033.0,2302.92,Net Banking
ORD10857,2025-02-27,Customer_149,Delhi,Clothing,Jacket,3,2779,15,7086.45,1284.15,UPI
ORD10988,2025-02-28,Customer_114,Delhi,Home & Kitchen,Mixer,2,6922,5,13151.8,2275.23,UPI
ORD10418,2025-02-28,Customer_076,Delhi,Furniture,Table,2,15951,10,28711.8,5516.9,UPI
ORD10460,2025-03-03,Customer_093,Karnataka,Clothing,Jeans,5,2501,5,11879.75,1913.38,Net Banking
ORD10396,2025-03-04,Customer_057,Tamil Nadu,Home & Kitchen,Mixer,1,7999,5,7599.05,1584.88,Credit Card
ORD10784,2025-03-05,Customer_006,Delhi,Home & Kitchen,Cookware Set,4,3315,10,11934.0,1198.08,Net Banking
ORD10726,2025-03-07,Customer_112,Tamil Nadu,Electronics,Headphones,2,4607,15,7831.9,944.85,Debit Card
ORD10974,2025-03-07,Customer_091,Kerala,Clothing,Shoes,3,4337,5,12360.45,1585.99,Cash
ORD10694,2025-03-07,Customer_042,Kerala,Home & Kitchen,Bottle,1,624,0,624.0,68.15,Credit Card
ORD10795,2025-03-07,Customer_188,Maharashtra,Electronics,Headphones,4,4253,15,14460.2,1926.05,UPI
ORD10894,2025-03-08,Customer_035,Delhi,Electronics,Mobile,3,23185,15,59121.75,11953.36,Credit Card
ORD10131,2025-03-09,Customer_011,Telangana,Home & Kitchen,Cookware Set,4,1959,0,7836.0,1359.37,UPI
ORD10623,2025-03-09,Customer_048,Telangana,Clothing,Shoes,5,3515,0,17575.0,4034.03,UPI
ORD10967,2025-03-09,Customer_167,Maharashtra,Electronics,Headphones,2,3217,10,5790.6,967.05,Credit Card
ORD10354,2025-03-09,Customer_094,Kerala,Home & Kitchen,Bottle,2,1404,5,2667.6,598.86,Debit Card
ORD10406,2025-03-10,Customer_182,Karnataka,Home & Kitchen,Cookware Set,5,4764,10,21438.0,2951.62,UPI
ORD10174,2025-03-10,Customer_033,Delhi,Home & Kitchen,Air Fryer,3,11079,0,33237.0,4982.95,Cash
ORD10490,2025-03-10,Customer_091,Delhi,Electronics,Monitor,2,14004,15,23806.8,4330.66,Net Banking
ORD10727,2025-03-11,Customer_153,Maharashtra,Clothing,Backpack,2,1322,20,2115.2,441.8,Cash
ORD10254,2025-03-11,Customer_131,Telangana,Electronics,Headphones,3,8616,0,25848.0,4842.2,Net Banking
ORD10737,2025-03-11,Customer_139,Karnataka,Home & Kitchen,Bottle,5,1323,15,5622.75,1181.88,Debit Card
ORD10120,2025-03-12,Customer_057,Telangana,Electronics,Monitor,5,18794,10,84573.0,11171.55,UPI
ORD10376,2025-03-12,Customer_020,Maharashtra,Home & Kitchen,Cookware Set,3,3620,0,10860.0,2526.57,UPI
ORD10167,2025-03-12,Customer_128,Telangana,Home & Kitchen,Air Fryer,3,6810,5,19408.5,2190.91,Net Banking
ORD10878,2025-03-14,Customer_177,Maharashtra,Furniture,Desk,3,7072,5,20155.2,2364.97,Net Banking
ORD10982,2025-03-14,Customer_151,Maharashtra,Home & Kitchen,Bottle,5,1039,15,4415.75,586.2,UPI
ORD10074,2025-03-14,Customer_131,Maharashtra,Furniture,Bookshelf,4,3587,0,14348.0,3457.13,UPI
ORD10890,2025-03-14,Customer_118,Kerala,Electronics,Laptop,5,61241,10,275584.5,46052.04,Net Banking
ORD10659,2025-03-15,Customer_135,Tamil Nadu,Home & Kitchen,Air Fryer,3,4182,10,11291.4,1451.58,Cash
ORD10024,2025-03-15,Customer_153,Maharashtra,Home & Kitchen,Cookware Set,3,1758,15,4482.9,659.86,Debit Card
ORD10044,2025-03-15,Customer_102,Telangana,Home & Kitchen,Air Fryer,2,6591,0,13182.0,2740.64,Credit Card
ORD10371,2025-03-16,Customer_133,Karnataka,Home & Kitchen,Dinner Set,5,2681,0,13405.0,2207.56,Net Banking
ORD10932,2025-03-16,Customer_028,Telangana,Home & Kitchen,Mixer,3,2856,10,7711.2,933.04,Net Banking
ORD10582,2025-03-17,Customer_154,Tamil Nadu,Electronics,Monitor,5,24906,15,105850.5,11689.64,UPI
ORD10818,2025-03-17,Customer_199,Tamil Nadu,Clothing,T-Shirt,2,1164,5,2211.6,488.82,Cash
ORD10485,2025-03-19,Customer_196,Andhra Pradesh,Electronics,Headphones,3,5931,10,16013.7,1640.93,Cash
ORD10653,2025-03-19,Customer_066,Karnataka,Clothing,Jacket,5,4628,10,20826.0,3149.87,UPI
ORD10152,2025-03-19,Customer_073,Karnataka,Clothing,T-Shirt,2,653,0,1306.0,222.14,Net Banking
ORD10140,2025-03-20,Customer_044,Maharashtra,Electronics,Mobile,5,29761,0,148805.0,14316.73,Debit Card
ORD10004,2025-03-20,Customer_081,Telangana,Clothing,Backpack,4,2250,10,8100.0,1223.13,Debit Card
ORD10085,2025-03-20,Customer_179,Telangana,Clothing,Jeans,2,2898,10,5216.4,577.98,Net Banking
ORD10430,2025-03-21,Customer_188,Karnataka,Home & Kitchen,Mixer,2,2942,15,5001.4,741.45,UPI
ORD10510,2025-03-21,Customer_148,Karnataka,Furniture,Desk,1,16238,10,14614.2,1716.92,Debit Card
ORD10557,2025-03-22,Customer_072,Karnataka,Home & Kitchen,Dinner Set,4,1880,0,7520.0,1059.45,Net Banking
ORD10212,2025-03-22,Customer_046,Kerala,Clothing,Backpack,5,2147,0,10735.0,2482.85,UPI
ORD10594,2025-03-23,Customer_075,Andhra Pradesh,Home & Kitchen,Mixer,1,2524,0,2524.0,577.07,Credit Card
ORD10753,2025-03-23,Customer_048,Karnataka,Furniture,Office Chair,4,17936,10,64569.6,8120.11,UPI
ORD10072,2025-03-23,Customer_114,Karnataka,Furniture,Sofa,3,31087,5,88597.95,17195.61,Cash
ORD10899,2025-03-23,Customer_087,Kerala,Clothing,T-Shirt,5,776,0,3880.0,345.91,Net Banking
ORD10865,2025-03-25,Customer_141,Karnataka,Home & Kitchen,Bottle,3,1413,10,3815.1,602.27,Debit Card
ORD10170,2025-03-25,Customer_157,Delhi,Furniture,Table,4,6990,10,25164.0,5803.69,Debit Card
ORD10447,2025-03-25,Customer_029,Tamil Nadu,Clothing,T-Shirt,2,669,5,1271.1,297.9,Debit Card
ORD10706,2025-03-25,Customer_049,Andhra Pradesh,Electronics,Headphones,4,10298,5,39132.4,4153.64,Credit Card
ORD10486,2025-03-26,Customer_074,Andhra Pradesh,Furniture,Desk,4,15714,0,62856.0,9728.57,Debit Card
ORD10820,2025-03-26,Customer_054,Delhi,Electronics,Monitor,4,13025,15,44285.0,4336.31,Net Banking
ORD10205,2025-03-26,Customer_154,Delhi,Home & Kitchen,Air Fryer,3,5299,5,15102.15,2977.31,Net Banking
ORD10243,2025-03-27,Customer_183,Maharashtra,Home & Kitchen,Mixer,1,4507,0,4507.0,395.04,Net Banking
ORD10754,2025-03-28,Customer_173,Kerala,Furniture,Office Chair,3,9424,0,28272.0,3216.43,Net Banking
ORD10139,2025-03-28,Customer_046,Delhi,Clothing,Shoes,3,3954,20,9489.6,2260.12,Debit Card
ORD10625,2025-03-29,Customer_149,Andhra Pradesh,Electronics,Monitor,2,11092,10,19965.6,4962.66,Cash
ORD10320,2025-03-29,Customer_137,Kerala,Furniture,Table,2,14651,20,23441.6,2832.94,Net Banking
ORD10282,2025-03-29,Customer_173,Andhra Pradesh,Home & Kitchen,Dinner Set,5,2574,20,10296.0,1341.47,Credit Card
ORD10313,2025-03-31,Customer_025,Tamil Nadu,Home & Kitchen,Cookware Set,3,5533,0,16599.0,2924.36,UPI
ORD10412,2025-03-31,Customer_104,Kerala,Home & Kitchen,Air Fryer,4,6011,5,22841.8,3204.79,Cash
ORD10019,2025-03-31,Customer_062,Telangana,Home & Kitchen,Air Fryer,3,7339,5,20916.15,2935.22,Debit Card
ORD10123,2025-03-31,Customer_053,Kerala,Furniture,Table,3,10040,5,28614.0,4223.61,Net Banking
ORD10844,2025-03-31,Customer_096,Maharashtra,Clothing,Backpack,2,1288,15,2189.6,312.57,Net Banking
ORD10736,2025-04-01,Customer_124,Maharashtra,Clothing,Jacket,3,4387,5,12502.95,2662.15,Cash
ORD10763,2025-04-02,Customer_079,Andhra Pradesh,Electronics,Mobile,2,32360,20,51776.0,7457.56,UPI
ORD10508,2025-04-02,Customer_134,Tamil Nadu,Clothing,Backpack,3,2709,0,8127.0,1397.76,Debit Card
ORD10092,2025-04-02,Customer_189,Kerala,Home & Kitchen,Mixer,1,4826,20,3860.8,421.06,Cash
ORD10185,2025-04-03,Customer_106,Karnataka,Electronics,Headphones,4,11461,5,43551.8,5487.94,Credit Card
ORD10870,2025-04-03,Customer_136,Andhra Pradesh,Furniture,Bookshelf,1,10468,0,10468.0,1898.15,UPI
ORD10662,2025-04-03,Customer_172,Telangana,Clothing,Jeans,3,2669,15,6805.95,1221.13,Cash
ORD10065,2025-04-04,Customer_045,Delhi,Clothing,Jeans,4,1464,0,5856.0,739.26,Cash
ORD10503,2025-04-05,Customer_178,Karnataka,Electronics,Mobile,4,13307,0,53228.0,9972.16,UPI
ORD10589,2025-04-06,Customer_166,Delhi,Home & Kitchen,Bottle,5,841,5,3994.75,510.14,UPI
ORD10023,2025-04-07,Customer_114,Karnataka,Furniture,Office Chair,2,16116,5,30620.4,2814.58,Credit Card
ORD10788,2025-04-07,Customer_002,Andhra Pradesh,Home & Kitchen,Mixer,2,3174,0,6348.0,656.01,Cash
ORD10365,2025-04-09,Customer_027,Karnataka,Clothing,Shoes,5,5818,10,26181.0,4700.8,Cash
ORD10989,2025-04-09,Customer_020,Delhi,Furniture,Desk,4,15171,0,60684.0,5756.84,Cash
ORD10046,2025-04-11,Customer_106,Delhi,Home & Kitchen,Dinner Set,3,2547,10,6876.9,1342.13,Credit Card
ORD10392,2025-04-11,Customer_147,Kerala,Clothing,Backpack,5,3407,10,15331.5,3056.46,UPI
ORD10984,2025-04-11,Customer_125,Tamil Nadu,Electronics,Laptop,4,47176,5,179268.8,38613.58,Cash
ORD10071,2025-04-11,Customer_030,Delhi,Furniture,Office Chair,1,7504,15,6378.4,885.24,Credit Card
ORD10379,2025-04-11,Customer_148,Tamil Nadu,Furniture,Table,3,15897,15,40537.35,8275.2,Net Banking
ORD10793,2025-04-12,Customer_200,Andhra Pradesh,Electronics,Keyboard,5,2864,0,14320.0,3122.2,UPI
ORD10903,2025-04-13,Customer_135,Maharashtra,Furniture,Table,4,6645,15,22593.0,4889.31,Cash
ORD10934,2025-04-13,Customer_155,Karnataka,Electronics,Mobile,1,42873,5,40729.35,3730.47,Debit Card
ORD10590,2025-04-13,Customer_023,Andhra Pradesh,Electronics,Monitor,5,19886,0,99430.0,13869.43,Cash
ORD10017,2025-04-13,Customer_146,Maharashtra,Home & Kitchen,Cookware Set,4,3785,5,14383.0,1774.97,Net Banking
ORD10910,2025-04-15,Customer_103,Telangana,Furniture,Bookshelf,5,3492,0,17460.0,1426.22,UPI
ORD10398,2025-04-15,Customer_035,Karnataka,Furniture,Desk,3,16135,10,43564.5,6538.49,UPI
ORD10377,2025-04-15,Customer_061,Kerala,Home & Kitchen,Mixer,5,6520,0,32600.0,7096.6,UPI
ORD10204,2025-04-16,Customer_161,Kerala,Electronics,Mobile,4,25615,0,102460.0,24472.94,UPI
ORD10082,2025-04-17,Customer_174,Kerala,Home & Kitchen,Bottle,2,489,10,880.2,173.37,Cash
ORD10700,2025-04-17,Customer_118,Delhi,Clothing,T-Shirt,2,636,0,1272.0,104.76,UPI
ORD10637,2025-04-18,Customer_115,Karnataka,Electronics,Laptop,5,60717,20,242868.0,42975.2,Net Banking
ORD10316,2025-04-18,Customer_181,Tamil Nadu,Home & Kitchen,Mixer,5,6244,0,31220.0,5410.69,UPI
ORD10532,2025-04-19,Customer_046,Telangana,Home & Kitchen,Cookware Set,3,3110,0,9330.0,976.9,Credit Card
ORD10962,2025-04-19,Customer_071,Maharashtra,Electronics,Headphones,5,7217,0,36085.0,4401.77,Debit Card
ORD10585,2025-04-19,Customer_084,Tamil Nadu,Furniture,Table,5,11537,20,46148.0,7982.58,Net Banking
ORD10263,2025-04-20,Customer_073,Maharashtra,Electronics,Laptop,5,62543,10,281443.5,50116.59,Credit Card
ORD10797,2025-04-21,Customer_111,Kerala,Electronics,Mobile,1,36087,5,34282.65,3510.09,Net Banking
ORD10305,2025-04-22,Customer_066,Karnataka,Furniture,Office Chair,4,13365,0,53460.0,4277.08,UPI
ORD10955,2025-04-22,Customer_141,Tamil Nadu,Clothing,Shoes,1,5782,20,4625.6,425.51,Debit Card
ORD10225,2025-04-22,Customer_070,Karnataka,Furniture,Office Chair,5,5526,10,24867.0,4849.12,Credit Card
ORD10817,2025-04-24,Customer_163,Kerala,Electronics,Keyboard,4,4262,0,17048.0,3765.57,Net Banking
ORD10440,2025-04-24,Customer_007,Maharashtra,Clothing,Jacket,5,2710,5,12872.5,2937.83,Net Banking
ORD10036,2025-04-24,Customer_172,Kerala,Electronics,Laptop,2,62071,0,124142.0,30151.62,Net Banking
ORD10927,2025-04-25,Customer_130,Kerala,Electronics,Keyboard,5,3543,10,15943.5,3494.94,Cash
ORD10722,2025-04-26,Customer_103,Maharashtra,Clothing,Shoes,1,1734,10,1560.6,161.49,UPI
ORD10049,2025-04-27,Customer_058,Kerala,Furniture,Desk,3,16102,15,41060.1,9039.8,Net Banking
ORD10720,2025-04-27,Customer_167,Telangana,Home & Kitchen,Mixer,3,6296,5,17943.6,2216.98,Net Banking
ORD10908,2025-04-27,Customer_093,Telangana,Clothing,Shoes,3,3257,0,9771.0,2212.6,Debit Card
ORD10063,2025-04-27,Customer_069,Maharashtra,Electronics,Keyboard,4,1026,0,4104.0,555.21,Net Banking
ORD10468,2025-04-27,Customer_151,Kerala,Electronics,Laptop,4,66300,0,265200.0,64989.87,Net Banking
ORD10110,2025-04-28,Customer_162,Maharashtra,Clothing,Backpack,1,955,10,859.5,204.13,UPI
ORD10545,2025-04-28,Customer_091,Delhi,Electronics,Headphones,1,4802,15,4081.7,702.12,Cash
ORD10646,2025-04-29,Customer_043,Maharashtra,Electronics,Mobile,1,48469,15,41198.65,7269.77,Cash
ORD10197,2025-04-29,Customer_097,Delhi,Furniture,Sofa,3,24885,5,70922.25,13141.63,Net Banking
ORD10252,2025-04-30,Customer_034,Telangana,Electronics,Mobile,1,31835,0,31835.0,3946.28,Cash
ORD10056,2025-04-30,Customer_052,Kerala,Home & Kitchen,Air Fryer,5,7711,0,38555.0,9082.03,UPI
ORD10711,2025-04-30,Customer_063,Maharashtra,Clothing,Jeans,2,3195,5,6070.5,1186.43,Credit Card
ORD10128,2025-05-01,Customer_049,Delhi,Electronics,Monitor,1,20565,5,19536.75,2464.63,UPI
ORD10207,2025-05-01,Customer_193,Andhra Pradesh,Home & Kitchen,Dinner Set,4,2986,0,11944.0,2084.85,Credit Card
ORD10638,2025-05-02,Customer_163,Telangana,Clothing,Jeans,3,3569,5,10171.65,1177.05,Cash
ORD10799,2025-05-03,Customer_127,Karnataka,Electronics,Keyboard,4,1539,0,6156.0,1268.97,Credit Card
ORD10994,2025-05-03,Customer_136,Maharashtra,Home & Kitchen,Mixer,3,6196,5,17658.6,4281.51,UPI
ORD10833,2025-05-03,Customer_039,Tamil Nadu,Clothing,Backpack,1,3007,5,2856.65,535.15,UPI
ORD10163,2025-05-03,Customer_026,Kerala,Home & Kitchen,Dinner Set,3,3331,0,9993.0,895.73,Credit Card
ORD10893,2025-05-05,Customer_012,Andhra Pradesh,Electronics,Mobile,4,46464,5,176563.2,32774.76,Cash
ORD10021,2025-05-06,Customer_029,Telangana,Furniture,Table,4,6822,10,24559.2,4786.34,Credit Card
